No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
69,CITIMALL CIANJUR,G,G-0080,78.26,Y,Full Rental,"135,000.00","100,000.00",20/Jul/2020,28/Jul/2021,29/Jul/2020,28/Jul/2021,20/Jul/2020,BUTIK 28 HIJAB SCARF,BUTIK 28 HIJAB SCARF
70,CITIMALL CIANJUR,G,G-0090,160.00,Y,Full Rental,"145,000.00","100,000.00",01/Jan/2020,31/Dec/2022,01/Jan/2020,31/Dec/2022,01/Jan/2020,DINO PARK,DINO PARK
71,CITIMALL CIANJUR,G,G-0100,81.00,Y,Full Rental,"160,000.00","110,000.00",08/Jun/2017,07/Jun/2022,08/Jun/2017,07/Jun/2022,08/Jun/2017,SURPRICE,SURPRICE
72,CITIMALL CIANJUR,G,G-0105,0.00,Y,,0.00,0.00,,,,,,,
73,CITIMALL CIANJUR,G,G-0110,0.00,Y,,0.00,0.00,,,,,,,
74,CITIMALL CIANJUR,G,G-0115,0.00,Y,,0.00,0.00,,,,,,,
75,CITIMALL CIANJUR,G,G-0120,0.00,Y,,0.00,0.00,,,,,,,
76,CITIMALL CIANJUR,G,G-0130,328.80,Y,Full Rental,"90,000.00","110,000.00",27/Jan/2015,28/Feb/2021,01/Mar/2016,28/Feb/2021,27/Jan/2015,FUN CITY,FUN CITY
77,CITIMALL CIANJUR,G,G-0135,0.00,Y,,0.00,0.00,,,,,,,
78,CITIMALL CIANJUR,G,G-0140,0.00,Y,,0.00,0.00,,,,,,,
79,CITIMALL CIANJUR,G,G-0140A,6.75,Y,Full Rental,"541,481.48",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,ANDRA CELL,ANDRA CELLULAR
80,CITIMALL CIANJUR,G,G-0140B,6.75,Y,Full Rental,"453,333.33",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,ANDRA CELL,ANDRA CELLULAR
81,CITIMALL CIANJUR,G,G-0140C,6.75,Y,Full Rental,"402,962.96",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,RIZAL PHONE SHOP,RIZAL PHONE SHOP
82,CITIMALL CIANJUR,G,G-0140D,6.75,Y,Full Rental,"352,592.59",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,UNSA CELL,UNSA CELL
83,CITIMALL CIANJUR,G,G-0140E,6.75,Y,Full Rental,"228,956.29",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,BUNGSU CELL,BUNGSU CELL
84,CITIMALL CIANJUR,G,G-0140F,6.75,Y,,0.00,0.00,,,,,,,
85,CITIMALL CIANJUR,G,G-0140G,6.75,Y,Full Rental,"478,518.51",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,AZ GREEN CELL,AZ GREEN CELL
86,CITIMALL CIANJUR,G,G-0140H,6.75,Y,Full Rental,"440,740.74",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,AZ GREEN CELL,AZ GREEN CELL
87,CITIMALL CIANJUR,G,G-0140I,6.75,Y,Full Rental,"402,962.96",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,WAHYU CELL,WAHYU CELL
88,CITIMALL CIANJUR,G,G-0140J,6.75,Y,,0.00,0.00,,,,,,,
89,CITIMALL CIANJUR,G,G-0140K,6.75,Y,Full Rental,"228,956.29",0.00,01/Sep/2020,30/Sep/2020,01/Sep/2020,30/Sep/2020,01/Sep/2020,CENTRAL CELL,CENTRAL CELL
90,CITIMALL CIANJUR,G,G-0140L,6.75,Y,,0.00,0.00,,,,,,,
91,CITIMALL CIANJUR,G,G-0140Z,81.00,Y,,0.00,0.00,,,,,,,
92,CITIMALL CIANJUR,G,G-0150,36.00,Y,Full Rental,"210,000.00","110,000.00",10/Nov/2017,09/Nov/2020,10/Nov/2017,09/Nov/2020,,OPTIC KASOEM,OPTIC KASOEM
93,CITIMALL CIANJUR,G,G-0160,127.50,Y,Full Rental,"200,000.00","114,240.00",05/Jul/2017,05/Oct/2020,06/Oct/2017,05/Oct/2020,05/Jul/2017,ALAM SUNDA,ALAM SUNDA
94,CITIMALL CIANJUR,G,G-0162,12.18,Y,Full Rental,"100,000.00","57,120.00",01/Nov/2017,05/Oct/2020,01/Nov/2017,05/Oct/2020,01/Nov/2017,ALAM SUNDA,ALAM SUNDA
95,CITIMALL CIANJUR,G,G-0165,121.44,Y,Full Rental,"125,000.00","110,000.00",03/Oct/2017,08/Nov/2022,09/Nov/2017,08/Nov/2022,03/Oct/2017,USUPSO,USUPSO
