No,Sub Portfolio Name,Floor Cd,Floor Name,Lot No,Net Area (Lot Master),GFA,NLA,Contract Amt,Rental Base,Base Rental Rate,Rental Rate,Service Charge Rate
222,CITIMALL SUKABUMI,10,1,1-0170,56,Y,Y,"456,273,000.00",Full Rental,"225,000.00",225000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0180,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0190,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0200,117,Y,Y,"887,241,600.00",Full Rental,"126,000.00",120000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0210,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0220,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0230,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0231,25,Y,Y,"94,159,800.00",Full Rental,"63,000.00",60000,"50,000.00"
222,CITIMALL SUKABUMI,10,1,1-0233,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0236,31,Y,Y,"226,368,000.00",Full Rental,"200,000.00",220000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0240,34,Y,Y,"9,331,087.84",Full Rental,"274,443.76",274444,0.00
222,CITIMALL SUKABUMI,10,1,1-0245,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0250,34,Y,Y,"2,333,330.24",Full Rental,"26,737.97",15152,0.00
222,CITIMALL SUKABUMI,10,1,1-0260,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0270,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0271,259,Y,Y,"1,679,616,000.00",Full Rental,"180,000.00",200000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0280,106,Y,Y,"845,323,500.00",Full Rental,"162,244.90",175000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0290,145,Y,Y,"609,084,000.00",Full Rental,"175,000.00",175000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0300,86,Y,Y,"948,115,200.00",Full Rental,"184,000.00",180000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0310,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0320,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0330,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0340,35,Y,Y,"385,958,400.00",Full Rental,"184,000.00",180000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0350,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,10,1,1-0360,33,Y,Y,"360,235,200.00",Full Rental,"184,000.00",180000,"102,000.00"
222,CITIMALL SUKABUMI,10,1,1-0365,4,Y,Y,"22,080,000.00",Full Rental,"92,000.00",90000,"51,000.00"
